d_don_cossacks;Don Cossacks;;;;;;;;;;;;;x
d_don_cossacks_adj;Don Cossack;;;;;;;;;;;;;x
d_zaporozhian_cossacks;Zaporozhian Cossacks;;;;;;;;;;;;;x
d_zaporozhian_cossacks_adj;Zaporozhian Cossack;;;;;;;;;;;;;x
d_bug_cossacks;Bug Cossacks;;;;;;;;;;;;;x
d_bug_cossacks_adj;Bug Cossack;;;;;;;;;;;;;x
d_kuban_cossacks;Kuban Cossacks;;;;;;;;;;;;;x
d_kuban_cossacks_adj;Kuban Cossack;;;;;;;;;;;;;x
d_terek_cossacks;Terek Cossacks;;;;;;;;;;;;;x
d_terek_cossacks_adj;Terek Cossack;;;;;;;;;;;;;x
d_ural_cossacks;Ural Cossacks;;;;;;;;;;;;;x
d_ural_cossacks_adj;Ural Cossack;;;;;;;;;;;;;x
d_orenburg_cossacks;Orenburg Cossacks;;;;;;;;;;;;;x
d_orenburg_cossacks_adj;Orenburg Cossack;;;;;;;;;;;;;x
d_astrakhan_cossacks;Astrakhan Cossacks;;;;;;;;;;;;;x
d_astrakhan_cossacks_adj;Astrakhan Cossack;;;;;;;;;;;;;x
d_siberian_cossacks;Siberian Cossacks;;;;;;;;;;;;;x
d_siberian_cossacks_adj;Siberian Cossack;;;;;;;;;;;;;x
d_semirechye_cossacks;Semirechye Cossacks;;;;;;;;;;;;;x
d_semirechye_cossacks_adj;Semirechye Cossack;;;;;;;;;;;;;x
d_baikal_cossacks;Baikal Cossacks;;;;;;;;;;;;;x
d_baikal_cossacks_adj;Baikal Cossack;;;;;;;;;;;;;x
d_amur_cossacks;Amur Cossacks;;;;;;;;;;;;;x
d_amur_cossacks_adj;Amur Cossack;;;;;;;;;;;;;x
d_ussuri_cossacks;Ussuri Cossacks;;;;;;;;;;;;;x
d_ussuri_cossacks_adj;Ussuri Cossack;;;;;;;;;;;;;x
d_povolzhye_cossacks;Povolzhye Cossacks;;;;;;;;;;;;;x
d_povolzhye_cossacks_adj;Povolzhye Cossack;;;;;;;;;;;;;x
vassalize_don_cossacks;Vassalize the Don Cossacks;;;;;;;;;;;;;x
vassalize_don_cossacks_desc;Incorporating this Cossack Host into our armed forces would mean you could employ them in battle against our enemies.;;;;;;;;;;;;;x
vassalize_zaporozhian_cossacks;Vassalize the Zaporozhian Cossacks;;;;;;;;;;;;;x
vassalize_zaporozhian_cossacks_desc;Incorporating this Cossack Host into our armed forces would mean you could employ them in battle against our enemies.;;;;;;;;;;;;;x
vassalize_kuban_cossacks;Vassalize the Kuban Cossacks;;;;;;;;;;;;;x
vassalize_kuban_cossacks_desc;Incorporating this Cossack Host into our armed forces would mean you could employ them in battle against our enemies.;;;;;;;;;;;;;x
vassalize_terek_cossacks;Vassalize the Terek Cossacks;;;;;;;;;;;;;x
vassalize_terek_cossacks_desc;Incorporating this Cossack Host into our armed forces would mean you could employ them in battle against our enemies.;;;;;;;;;;;;;x
vassalize_ural_cossacks;Vassalize the Ural Cossacks;;;;;;;;;;;;;x
vassalize_ural_cossacks_desc;Incorporating this Cossack Host into our armed forces would mean you could employ them in battle against our enemies.;;;;;;;;;;;;;x
vassalize_orenburg_cossacks;Vassalize the Orenburg Cossacks;;;;;;;;;;;;;x
vassalize_orenburg_cossacks_desc;Incorporating this Cossack Host into our armed forces would mean you could employ them in battle against our enemies.;;;;;;;;;;;;;x
vassalize_astrakhan_cossacks;Vassalize the Astrakhan Cossacks;;;;;;;;;;;;;x
vassalize_astrakhan_cossacks_desc;Incorporating this Cossack Host into our armed forces would mean you could employ them in battle against our enemies.;;;;;;;;;;;;;x
vassalize_siberian_cossacks;Vassalize the Siberian Cossacks;;;;;;;;;;;;;x
vassalize_siberian_cossacks_desc;Incorporating this Cossack Host into our armed forces would mean you could employ them in battle against our enemies.;;;;;;;;;;;;;x
vassalize_semirechye_cossacks;Vassalize the Semirechye Cossacks;;;;;;;;;;;;;x
vassalize_semirechye_cossacks_desc;Incorporating this Cossack Host into our armed forces would mean you could employ them in battle against our enemies.;;;;;;;;;;;;;x
vassalize_baikal_cossacks;Vassalize the Baikal Cossacks;;;;;;;;;;;;;x
vassalize_baikal_cossacks_desc;Incorporating this Cossack Host into our armed forces would mean you could employ them in battle against our enemies.;;;;;;;;;;;;;x
vassalize_amur_cossacks;Vassalize the Amur Cossacks;;;;;;;;;;;;;x
vassalize_amur_cossacks_desc;Incorporating this Cossack Host into our armed forces would mean you could employ them in battle against our enemies.;;;;;;;;;;;;;x
vassalize_ussuri_cossacks;Vassalize the Ussuri Cossacks;;;;;;;;;;;;;x
vassalize_ussuri_cossacks_desc;Incorporating this Cossack Host into our armed forces would mean you could employ them in battle against our enemies.;;;;;;;;;;;;;x
vassalize_povolzhye_cossacks;Vassalize the Povolzhye Cossacks;;;;;;;;;;;;;x
vassalize_povolzhye_cossacks_desc;Incorporating this Cossack Host into our armed forces would mean you could employ them in battle against our enemies.;;;;;;;;;;;;;x
vassalize_bug_cossacks;Vassalize the Bug Cossacks;;;;;;;;;;;;;x
vassalize_bug_cossacks_desc;Incorporating this Cossack Host into our armed forces would mean you could employ them in battle against our enemies.;;;;;;;;;;;;;x
HETMAN;Hetman;;;;;;;;;;;;;x
EVTNAMErussianevents.1;Rise of the Don Cossacks!;;;;;;;;;;;;;x
EVTDESCrussianeventsR.1;Runaway serfs fleeing drafts and heavy thites imposed upon the peasantry of the troubled Russias seem to be amassing in significant hosts along the river Don. They might just be looking for free pasture and living, but some fear this development might shake the foundations of serfdom, others fear even their already proven military capabilites.;;;;;;;;;;;;;x
EVTOPTArussianevents.1;I'd preffer if they paid taxes... but they might be of use in the battlefield.;;;;;;;;;;;;;x
EVTOPTBrussianevents.1;It is not as if we didn't have ocious peasants.;;;;;;;;;;;;;x
EVTNAMErussianevents.2;Rise of the Zaporozhian Cossacks!;;;;;;;;;;;;;x
