#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_maskut;Maskut;Maskut;Maskut;;Maskut;;;;;;;;;
c_lekia;Lekia;Lekia;Lekia;;Lekia;;;;;;;;;
c_mughan;Mughan;Mughan;Mughan;;Mughan;;;;;;;;;
c_utik;Utik;Utik;Utik;;Utik;;;;;;;;;
c_haidak;Haidak;Haidak;Haidak;;Haidak;;;;;;;;;
c_kumukh;Kumukh;Kumukh;Kumukh;;Kumukh;;;;;;;;;
c_khundzia;Khundzia;Khundzia;Khundzia;;Khundzia;;;;;;;;;
c_didoya;Didoya;Didoya;Didoya;;Didoya;;;;;;;;;
c_kalaus;Kalaus;Kalaus;Kalaus;;Kalaus;;;;;;;;;
c_simsir;Simsir;Simsir;Simsir;;Simsir;;;;;;;;;
c_dzurdzukia;Dzurdzukia;Dzurdzukia;Dzurdzukia;;Dzurdzukia;;;;;;;;;
c_ossetia;Ossetia;Ossetia;Ossetia;;Ossetia;;;;;;;;;
c_malkhicho;Malkhicho;Malkhicho;Malkhicho;;Malkhicho;;;;;;;;;
c_abazinia;Abazinia;Abazinia;Abazinia;;Abazinia;;;;;;;;;
c_kara-kuban;Kara-Kuban;Kara-Kuban;Kara-Kuban;;Kara-Kuban;;;;;;;;;
c_ubykhia;Ubykhia;Ubykhia;Ubykhia;;Ubykhia;;;;;;;;;
c_samegrelo;Samegrelo;Samegrelo;Samegrelo;;Samegrelo;;;;;;;;;
c_svaneti;Svaneti;Svaneti;Svaneti;;Svaneti;;;;;;;;;
c_klarjeti;Klarjeti;Klarjeti;Klarjeti;;Klarjeti;;;;;;;;;
c_meskheti;Meskheti;Meskheti;Meskheti;;Meskheti;;;;;;;;;
c_dvaleti;Dvaleti;Dvaleti;Dvaleti;;Dvaleti;;;;;;;;;
c_khevsureti;Khevsureti;Khevsureti;Khevsureti;;Khevsureti;;;;;;;;;
c_tusheti;Tusheti;Tusheti;Tusheti;;Tusheti;;;;;;;;;
c_qabala;Qabala;Qabala;Qabala;;Qabala;;;;;;;;;
c_ganja;Ganja;Ganja;Ganja;;Ganja;;;;;;;;;
c_jidan;Jidan;Jidan;Jidan;;Jidan;;;;;;;;;
c_sheki;Sheki;Sheki;Sheki;;Sheki;;;;;;;;;
c_artsakh;Artsakh;Artsakh;Artsakh;;Artsakh;;;;;;;;;
b_tsakhur;Tsakhur;Tsakhur;Tsakhur;;Tsakhur;;;;;;;;;
b_rija;Rija;Rija;Rija;;Rija;;;;;;;;;
b_rutul;Rutul;Rutul;Rutul;;Rutul;;;;;;;;;
b_akhtseh;Akhtseh;Akhtseh;Akhtseh;;Akhtseh;;;;;;;;;
b_mighrah;Mighrah;Mighrah;Mighrah;;Mighrah;;;;;;;;;
b_sarfun;Sarfun;Sarfun;Sarfun;;Sarfun;;;;;;;;;
b_shemakha;Shemakha;Shemakha;Shemakha;;Shemakha;;;;;;;;;
b_laizan;Laizan;Laizan;Laizan;;Laizan;;;;;;;;;
b_maraza;Maraza;Maraza;Maraza;;Maraza;;;;;;;;;
b_quba;Quba;Quba;Quba;;Quba;;;;;;;;;
b_shabran;Shabran;Shabran;Shabran;;Shabran;;;;;;;;;
b_hil;Hil;Hil;Hil;;Hil;;;;;;;;;
b_baku;Baku;Baku;Baku;;Baku;;;;;;;;;
b_salyan;Salyan;Salyan;Salyan;;Salyan;;;;;;;;;
b_ateshgah;Ateshgah;Ateshgah;Ateshgah;;Ateshgah;;;;;;;;;
b_mardakan;Mardakan;Mardakan;Mardakan;;Mardakan;;;;;;;;;
b_nardaran;Nardaran;Nardaran;Nardaran;;Nardaran;;;;;;;;;
b_mashgada;Mashgada;Mashgada;Mashgada;;Mashgada;;;;;;;;;
b_khila;Khila;Khila;Khila;;Khila;;;;;;;;;
b_siyan;Siyan;Siyan;Siyan;;Siyan;;;;;;;;;
b_stalvats;Stalvats;Stalvats;Stalvats;;Stalvats;;;;;;;;;
b_germi;Germi;Germi;Germi;;Germi;;;;;;;;;
b_lankaran;Lankaran;Lankaran;Lankaran;;Lankaran;;;;;;;;;
b_masally;Masally;Masally;Masally;;Masally;;;;;;;;;
b_barda;Barda;Barda;Barda;;Barda;;;;;;;;;
b_baylakan;Baylakan;Baylakan;Baylakan;;Baylakan;;;;;;;;;
b_leki;Leki;Leki;Leki;;Leki;;;;;;;;;
b_goroz;Goroz;Goroz;Goroz;;Goroz;;;;;;;;;
b_khachen;Khachen;Khachen;Khachen;;Khachen;;;;;;;;;
b_amaras;Amaras;Amaras;Amaras;;Amaras;;;;;;;;;
b_lagodekhi;Lagodekhi;Lagodekhi;Lagodekhi;;Lagodekhi;;;;;;;;;
b_sheki;Sheki;Sheki;Sheki;;Sheki;;;;;;;;;
b_khish;Khish;Khish;Khish;;Khish;;;;;;;;;
b_kala-koreysh;Kala-Koreysh;Kala-Koreysh;Kala-Koreysh;;Kala-Koreysh;;;;;;;;;
b_majalis;Majalis;Majalis;Majalis;;Majalis;;;;;;;;;
b_urkarakh;Urkarakh;Urkarakh;Urkarakh;;Urkarakh;;;;;;;;;
b_kumukh;Kumukh;Kumukh;Kumukh;;Kumukh;;;;;;;;;
b_khosrekh;Khosrekh;Khosrekh;Khosrekh;;Khosrekh;;;;;;;;;
b_khuri;Khuri;Khuri;Khuri;;Khuri;;;;;;;;;
b_semender;Semender;Semender;Semender;;Semender;;;;;;;;;
b_samiran;Samiran;Samiran;Samiran;;Samiran;;;;;;;;;
b_varachan;Varachan;Varachan;Varachan;;Varachan;;;;;;;;;
b_sambalut;Sambalut;Sambalut;Sambalut;;Sambalut;;;;;;;;;
b_surkhab;Surkhab;Surkhab;Surkhab;;Surkhab;;;;;;;;;
b_chungars;Chungars;Chungars;Chungars;;Chungars;;;;;;;;;
b_balanjar;Balanjar;Balanjar;Balanjar;;Balanjar;;;;;;;;;
b_tarki;Tarki;Tarki;Tarki;;Tarki;;;;;;;;;
b_khunzakh;Khunzakh;Khunzakh;Khunzakh;;Khunzakh;;;;;;;;;
b_tanusi;Tanusi;Tanusi;Tanusi;;Tanusi;;;;;;;;;
b_andi;Andi;Andi;Andi;;Andi;;;;;;;;;
b_chokh;Chokh;Chokh;Chokh;;Chokh;;;;;;;;;
b_tsurib;Tsurib;Tsurib;Tsurib;;Tsurib;;;;;;;;;
b_siukh;Siukh;Siukh;Siukh;;Siukh;;;;;;;;;
b_bezhta;Bezhta;Bezhta;Bezhta;;Bezhta;;;;;;;;;
b_kalaki;Kalaki;Kalaki;Kalaki;;Kalaki;;;;;;;;;
b_kidero;Kidero;Kidero;Kidero;;Kidero;;;;;;;;;
b_indgiur;Indgiur;Indgiur;Indgiur;;Indgiur;;;;;;;;;
b_majar;Majar;Majar;Majar;;Majar;;;;;;;;;
b_essen-tuk;Essen-tuk;Essen-tuk;Essen-tuk;;Essen-tuk;;;;;;;;;
b_solja;Solja;Solja;Solja;;Solja;;;;;;;;;
b_shela;Shela;Shela;Shela;;Shela;;;;;;;;;
b_alda;Alda;Alda;Alda;;Alda;;;;;;;;;
b_shuor;Shuor;Shuor;Shuor;;Shuor;;;;;;;;;
b_nikara;Nikara;Nikara;Nikara;;Nikara;;;;;;;;;
b_galashke;Galashke;Galashke;Galashke;;Galashke;;;;;;;;;
b_julat;Julat;Julat;Julat;;Julat;;;;;;;;;
b_magas;Magas;Magas;Magas;;Magas;;;;;;;;;
b_dadakov;Dadakov;Dadakov;Dadakov;;Dadakov;;;;;;;;;
b_zadalesk;Zadalesk;Zadalesk;Zadalesk;;Zadalesk;;;;;;;;;
b_dargavs;Dargavs;Dargavs;Dargavs;;Dargavs;;;;;;;;;
b_tatartup;Tatartup;Tatartup;Tatartup;;Tatartup;;;;;;;;;
b_tsimiti;Tsimiti;Tsimiti;Tsimiti;;Tsimiti;;;;;;;;;
b_zhabo-kala;Zhabo-Kala;Zhabo-Kala;Zhabo-Kala;;Zhabo-Kala;;;;;;;;;
b_el-jurtu;El-Jurtu;El-Jurtu;El-Jurtu;;El-Jurtu;;;;;;;;;
b_shoana;Shoana;Shoana;Shoana;;Shoana;;;;;;;;;
b_achipse;Achipse;Achipse;Achipse;;Achipse;;;;;;;;;
b_aiboga;Aiboga;Aiboga;Aiboga;;Aiboga;;;;;;;;;
b_bibarkt;Bibarkt;Bibarkt;Bibarkt;;Bibarkt;;;;;;;;;
b_copa;Copa;Copa;Copa;;Copa;;;;;;;;;
b_il-pesce;Il-Pesce;Il-Pesce;Il-Pesce;;Il-Pesce;;;;;;;;;
b_akhtar-bakhtar;Akhtar-Bakhtar;Akhtar-Bakhtar;Akhtar-Bakhtar;;Akhtar-Bakhtar;;;;;;;;;
b_bagu;Bagu;Bagu;Bagu;;Bagu;;;;;;;;;
b_nicopsia;Nicopsia;Nicopsia;Nicopsia;;Nicopsia;;;;;;;;;
b_agua;Agua;Agua;Agua;;Agua;;;;;;;;;
b_poti;Poti;Poti;Poti;;Poti;;;;;;;;;
